flow_date	host	symbiont	%_MOI	infection_prevalence	horizontal_transmission	group
20220909	qs4	bb859	0.05%_0.3	11.739308	1.81608584	delta
20220909	qs4	bb859	0.05%_0.3	11.7576043	1.73754491	delta
20220909	qs4	bb859	0.05%_0.3	11.6460624	1.72912196	delta
20220909	qs4	bb859	0.25%_1.5	20.7739721	3.04581796	delta
20220909	qs4	bb859	0.25%_1.5	20.6569868	2.78871288	delta
20220909	qs4	bb859	0.25%_1.5	20.5823334	3.11448725	delta
20220909	qs4	bb859	1.25%_7.5	27.791202	3.57968191	delta
20220909	qs4	bb859	1.25%_7.5	28.1839222	3.49941883	delta
20220909	qs4	bb859	1.25%_7.5	27.6477952	3.93452127	delta
20220909	qs4	bb859	0.05%_0.3	36.4445762	15.1382498	wt
20220909	qs4	bb859	0.05%_0.3	36.29721244	14.6661505	wt
20220909	qs4	bb859	0.05%_0.3	38.94718265	15.1047813	wt
20220909	qs4	bb859	0.25%_1.5	41.59715287	21.8319367	wt
20220909	qs4	bb859	0.25%_1.5	44.24712308	22.6200967	wt
20220909	qs4	bb859	0.25%_1.5	46.8970933	22.9130388	wt
20220909	qs4	bb859	1.25%_7.5	49.54706351	24.7236404	wt
20220909	qs4	bb859	1.25%_7.5	52.19703373	25.1135098	wt
20220909	qs4	bb859	1.25%_7.5	54.84700394	25.0980644	wt
20220930	qs864	bb859	0.05%_0.3	1.64506739	0.3157687	delta
20220930	qs864	bb859	0.05%_0.3	1.64519346	0.42601999	delta
20220930	qs864	bb859	0.05%_0.3	1.80321892	0.32503923	delta
20220930	qs864	bb859	0.25%_1.5	7.98869077	1.15011742	delta
20220930	qs864	bb859	0.25%_1.5	8.22188998	0.98299071	delta
20220930	qs864	bb859	0.25%_1.5	7.87978686	1.14125239	delta
20220930	qs864	bb859	1.25%_7.5	7.6784438	1.50756638	delta
20220930	qs864	bb859	1.25%_7.5	7.24945383	1.01455108	delta
20220930	qs864	bb859	1.25%_7.5	7.10321166	1.09187965	delta
20220930	qs864	bb859	0.05%_0.3	20.4819651	6.27898622	wt
20220930	qs864	bb859	0.05%_0.3	20.6643819	6.27556387	wt
20220930	qs864	bb859	0.05%_0.3	20.9702067	6.00981401	wt
20220930	qs864	bb859	0.25%_1.5	38.8076919	10.4425574	wt
20220930	qs864	bb859	0.25%_1.5	35.9616832	9.99248846	wt
20220930	qs864	bb859	0.25%_1.5	39.8515003	10.4594883	wt
20220930	qs864	bb859	1.25%_7.5	52.9366732	20.0619477	wt
20220930	qs864	bb859	1.25%_7.5	52.5882997	18.1368129	wt
20220930	qs864	bb859	1.25%_7.5	51.6456758	19.7124914	wt
20221014	qs864	bb433	0.05%_0.3	15.4392003	2.5899527	wt
20221014	qs864	bb433	0.05%_0.3	15.003654	2.65626039	wt
20221014	qs864	bb433	0.05%_0.3	15.8162047	2.63180146	wt
20221014	qs864	bb433	0.25%_1.5	24.1347093	5.19828389	wt
20221014	qs864	bb433	0.25%_1.5	24.2635773	4.44718398	wt
20221014	qs864	bb433	0.25%_1.5	23.4423717	4.01749481	wt
20221014	qs864	bb433	1.25%_7.5	26.0157507	5.27373077	wt
20221014	qs864	bb433	1.25%_7.5	25.7008155	4.50235994	wt
20221014	qs864	bb433	1.25%_7.5	26.2624026	4.6476607	wt
20221028	qs4	bb433	0.05%_0.3	6.02995833	0.71916403	delta
20221028	qs4	bb433	0.05%_0.3	5.96353853	0.52918208	delta
20221028	qs4	bb433	0.05%_0.3	6.01623791	0.56510534	delta
20221028	qs4	bb433	0.25%_1.5	13.4015465	1.6327877	delta
20221028	qs4	bb433	0.25%_1.5	13.7301968	1.63532129	delta
20221028	qs4	bb433	0.25%_1.5	13.3300786	1.57471993	delta
20221028	qs4	bb433	1.25%_7.5	15.8038175	1.40609177	delta
20221028	qs4	bb433	1.25%_7.5	16.1293631	1.57340589	delta
20221028	qs4	bb433	1.25%_7.5	15.9437449	1.26882347	delta
20221028	qs4	bb433	0.05%_0.3	14.4655138	2.61064239	wt
20221028	qs4	bb433	0.05%_0.3	14.1890211	2.60940032	wt
20221028	qs4	bb433	0.05%_0.3	13.9121845	2.53250809	wt
20221028	qs4	bb433	0.25%_1.5	23.8547458	4.42270855	wt
20221028	qs4	bb433	0.25%_1.5	24.5522529	3.5301192	wt
20221028	qs4	bb433	0.25%_1.5	24.0184163	3.50371928	wt
20221028	qs4	bb433	1.25%_7.5	32.7487606	6.58653234	wt
20221028	qs4	bb433	1.25%_7.5	33.4412282	5.86818641	wt
20221028	qs4	bb433	1.25%_7.5	34.0622902	5.99312818	wt
20221208	qs864	bb433	0.05%_0.3	4.28481019	0.38242066	delta
20221208	qs864	bb433	0.05%_0.3	4.30850343	0.38954586	delta
20221208	qs864	bb433	0.05%_0.3	4.57717315	0.29293589	delta
20221208	qs864	bb433	0.25%_1.5	8.56383696	0.636771	delta
20221208	qs864	bb433	0.25%_1.5	8.35719084	0.59766368	delta
20221208	qs864	bb433	0.25%_1.5	8.54666125	0.51066437	delta
20221208	qs864	bb433	1.25%_7.5	12.8298004	0.91412994	delta
20221208	qs864	bb433	1.25%_7.5	13.1627412	0.84733514	delta
20221208	qs864	bb433	1.25%_7.5	12.9121751	0.70664389	delta